Audience View,Date,Aggregation,Audience Size
Your engaged audience,2026-04-28,Monthly,10000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.688,1.316,Special Diet,"{'name': 'Special Diet', 'id': '933485647561'}",0.098,0.694
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.688,1.571,Garden Design,"{'name': 'Garden Design', 'id': '901468450490'}",0.471,3.129
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.688,1.571,Garden Types,"{'name': 'Garden Types', 'id': '926108676086'}",0.391,3.587
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.688,1.571,Planting,"{'name': 'Planting', 'id': '916000423671'}",0.366,0.477
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.656,1.049,Hair,"{'name': 'Hair', 'id': '903411883690'}",0.707,0.79
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.656,1.049,Skin Care,"{'name': 'Skin Care', 'id': '898977956499'}",0.494,0.861
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.656,1.049,Makeup,"{'name': 'Makeup', 'id': '948264532184'}",0.285,0.68
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.656,1.049,Bath and Body Care,"{'name': 'Bath and Body Care', 'id': '924324486050'}",0.255,0.738
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.656,1.049,Nails,"{'name': 'Nails', 'id': '956143059915'}",0.198,0.563
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Jewelry and Accessories,"{'name': ""Women's Jewelry and Accessories"", 'id': '916487219793'}",0.432,0.878
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Shoes,"{'name': ""Women's Shoes"", 'id': '923271066791'}",0.429,1.036
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Bottoms,"{'name': ""Women's Bottoms"", 'id': '936466861734'}",0.429,1.217
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Style,"{'name': ""Women's Style"", 'id': '947341333711'}",0.413,0.749
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Intimates,"{'name': ""Women's Intimates"", 'id': '955049894411'}",0.371,2.773
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Bag,"{'name': ""Women's Bag"", 'id': '941900382861'}",0.351,1.111
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Dress,"{'name': 'Dress', 'id': '945391946569'}",0.336,0.679
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Outfits by Occasions,"{'name': ""Women's Outfits by Occasions"", 'id': '895148303659'}",0.328,1.146
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Activewear,"{'name': ""Women's Activewear"", 'id': '900866395493'}",0.259,0.845
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Outerwear,"{'name': ""Women's Outerwear"", 'id': '958088257491'}",0.127,1.67
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.646,1.052,Women's Top,"{'name': ""Women's Top"", 'id': '945391038177'}",0.124,0.668
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.633,1.302,Cell Phones and Accessories,"{'name': 'Cell Phones and Accessories', 'id': '951444910525'}",0.256,0.366
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.613,1.658,Animals and Pet Supplies,"{'name': 'Animals and Pet Supplies', 'id': '903972677830'}",0.443,1.536
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.613,1.658,Bird,"{'name': 'Bird', 'id': '952174338649'}",0.285,2.019
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.613,1.658,Mammals,"{'name': 'Mammals', 'id': '956932523301'}",0.191,0.924
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.613,1.421,Toys,"{'name': 'Toys', 'id': '957620480011'}",0.703,1.126
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.613,1.421,Baby,"{'name': 'Baby', 'id': '933995299235'}",0.447,0.906
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.613,1.421,Family Activities,"{'name': 'Family Activities', 'id': '953318189801'}",0.305,3.821
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.586,1.773,Cars,"{'name': 'Cars', 'id': '950890153091'}",0.949,0.985
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.586,1.773,Motorcycles and Scooter,"{'name': 'Motorcycles and Scooter', 'id': '927349329594'}",0.306,2.966
