Audience View,Date,Aggregation,Audience Size
Your total audience,2026-06-04,Monthly,99000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Dancing,"{'name': 'Dancing', 'id': '952036629213'}",0.183,0.634
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Cycling,"{'name': 'Cycling', 'id': '932527952341'}",0.174,3.984
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Auto Racing,"{'name': 'Auto Racing', 'id': '914336245852'}",0.053,3.1
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Hockey,"{'name': 'Hockey', 'id': '949737144218'}",0.049,3.758
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Running,"{'name': 'Running', 'id': '909056984342'}",0.043,1.166
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Martial Arts,"{'name': 'Martial Arts', 'id': '957769245264'}",0.032,1.32
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,American Football,"{'name': 'American Football', 'id': '893600890503'}",0.028,0.871
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Volleyball,"{'name': 'Volleyball', 'id': '935508392210'}",0.027,0.625
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Water Sport,"{'name': 'Water Sport', 'id': '901265699631'}",0.024,
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Golf,"{'name': 'Golf', 'id': '918611471680'}",0.023,
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Rugby,"{'name': 'Rugby', 'id': '957599074955'}",0.022,
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Winter Sport,"{'name': 'Winter Sport', 'id': '901151529501'}",0.018,
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Basketball,"{'name': 'Basketball', 'id': '901240696013'}",0.018,0.691
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Cricket (sports),"{'name': 'Cricket (sports)', 'id': '950863552876'}",0.013,
Sport,"{'name': 'Sport', 'id': '919812032692'}",0.655,1.473,Handball,"{'name': 'Handball', 'id': '945550448942'}",0.013,
Health,"{'name': 'Health', 'id': '898620064290'}",0.648,1.204,Diet and Nutrition,"{'name': 'Diet and Nutrition', 'id': '899102674037'}",0.529,0.83
Health,"{'name': 'Health', 'id': '898620064290'}",0.648,1.204,Lifestyle,"{'name': 'Lifestyle', 'id': '916100312986'}",0.318,0.716
Health,"{'name': 'Health', 'id': '898620064290'}",0.648,1.204,Medical,"{'name': 'Medical', 'id': '912753135383'}",0.153,1.678
